NEWS_RANK,TITLE,CATEGORY,LINK
8,美国疫情反弹,国际热搜词,http://news.baidu.com/ns?cl=2&ct=9&rn=20&sp=hotquery&word=美国疫情反弹
9,伊核问题,国际热搜词,http://news.baidu.com/ns?cl=2&ct=9&rn=20&sp=hotquery&word=伊核问题
10,拉姆达变异毒株,国际热搜词,http://news.baidu.com/ns?cl=2&ct=9&rn=20&sp=hotquery&word=拉姆达变异毒株
1,谁说英国航母灰溜溜走了？它还要搞个大动作！,军事热门点击,http://baijiahao.baidu.com/s?id=1707079256711282681
2,中方发出雷霆警告后，英航母匆忙驶离南海，这是害怕中..,军事热门点击,http://baijiahao.baidu.com/s?id=1707056773330108851
3,一路自吹自擂，英国航母就这样离开了南海！,军事热门点击,http://baijiahao.baidu.com/s?id=1707028917655019389
4,英国航母“带病”赴关岛，美国分享“罗斯福”号“抗疫..,军事热门点击,http://baijiahao.baidu.com/s?id=1706974367049060297
5,致敬最可爱的人，沪上“小故宫”推出“强军之路”系列..,军事热门点击,http://baijiahao.baidu.com/s?id=1706994070378964949
1,江苏棋牌室麻将馆全部停业,百度热搜,https://www.baidu.com/s?wd=江苏棋牌室麻将馆全部停业
2,志愿者援郑返乡隔离被网友骂哭,百度热搜,https://www.baidu.com/s?wd=志愿者援郑返乡隔离被网友骂哭
3,#刘翔说大家没必要向他道歉#,百度热搜,https://www.baidu.com/s?wd=%23刘翔说大家没必要向他道歉%23
4,突破!王春雨800米决赛第5,百度热搜,https://www.baidu.com/s?wd=突破!王春雨800米决赛第5
5,林生斌另有一个4岁儿子为谣言,百度热搜,https://www.baidu.com/s?wd=林生斌另有一个4岁儿子为谣言
6,外交部回应BBC歪曲报道河南暴雨,百度热搜,https://www.baidu.com/s?wd=外交部回应BBC歪曲报道河南暴雨
7,谢震业未能晋级奥运200米决赛,百度热搜,https://www.baidu.com/s?wd=谢震业未能晋级奥运200米决赛
8,扬州40例确诊:多人曾去棋牌室,百度热搜,https://www.baidu.com/s?wd=扬州40例确诊:多人曾去棋牌室
9,烟台新增4例本土确诊 为美容院职工,百度热搜,https://www.baidu.com/s?wd=烟台新增4例本土确诊 为美容院职工
10,16岁的管晨辰喜欢保温杯,百度热搜,https://www.baidu.com/s?wd=16岁的管晨辰喜欢保温杯
11,女子隐瞒南京行程致扬州疫情被立案,百度热搜,https://www.baidu.com/s?wd=女子隐瞒南京行程致扬州疫情被立案
12,专家研判本周是疫情外溢发展关键期,百度热搜,https://www.baidu.com/s?wd=专家研判本周是疫情外溢发展关键期
13,朱小贞哥哥发文:相信杭州公安,百度热搜,https://www.baidu.com/s?wd=朱小贞哥哥发文:相信杭州公安
14,韩国羽协投诉陈清晨“C语言”,百度热搜,https://www.baidu.com/s?wd=韩国羽协投诉陈清晨“C语言”
15,牙买加选手故意放慢冲刺导致出局,百度热搜,https://www.baidu.com/s?wd=牙买加选手故意放慢冲刺导致出局
16,中国队金牌数已追平雅典奥运会,百度热搜,https://www.baidu.com/s?wd=中国队金牌数已追平雅典奥运会
17,进出南京扬州出租车网约车全面暂停,百度热搜,https://www.baidu.com/s?wd=进出南京扬州出租车网约车全面暂停
18,#王峥夺女子链球银牌#,百度热搜,https://www.baidu.com/s?wd=%23王峥夺女子链球银牌%23
19,张家界:境内所有人员不得离张,百度热搜,https://www.baidu.com/s?wd=张家界:境内所有人员不得离张
20,对23个地区车站出发旅客限制进京,百度热搜,https://www.baidu.com/s?wd=对23个地区车站出发旅客限制进京
21,人教社回应英语教材现wuyifan,百度热搜,https://www.baidu.com/s?wd=人教社回应英语教材现wuyifan
22,郑州34例感染者详情:含医生护士,百度热搜,https://www.baidu.com/s?wd=郑州34例感染者详情:含医生护士
23,珠海启动全市全员核酸检测,百度热搜,https://www.baidu.com/s?wd=珠海启动全市全员核酸检测
24,苏炳添跟夫人从校服到婚纱,百度热搜,https://www.baidu.com/s?wd=苏炳添跟夫人从校服到婚纱
25,中国体操队3金3银2铜收官,百度热搜,https://www.baidu.com/s?wd=中国体操队3金3银2铜收官
